DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),CLOSE_DEF_DIST(ft),FGM,pca_x,pca_y,mds_x,mds_y
3,4.2,27.1,4.8,0,-14.13343363,23.28037435,-0.206426793,-0.307473458
7,5.2,20.1,2.2,0,-9.311155436,18.33941812,-0.271295579,-0.06702258
2,2.5,19.9,5.9,0,-10.59640961,16.77853319,-0.039815442,-0.17644986
0,0,3.2,2.2,0,-1.877300163,2.481369077,0.195610558,0.234990395
0,9.7,17.1,3.5,0,-3.44631359,19.3559416,0.283397,-0.141620716
0,1,17.8,4.1,0,-10.41016903,14.27599573,0.03027708,-0.134270178
7,6.2,10.2,0.3,0,-2.313414788,11.41369285,0.221666022,0.06278962
8,10.7,20.4,1.6,0,-5.467991078,22.05943371,-0.467120859,-0.003905451
0,0,1.8,2.2,0,-0.970567043,1.416256466,0.209298146,0.269089728
19,18.1,17.9,4.4,0,1.336046753,24.43350813,-0.910935207,0.181249591
0,1.6,25.2,4.2,0,-14.7413557,20.29595498,-0.080873,-0.303940157
1,1.5,22.1,2.5,0,-13.01867386,17.78499021,-0.090650658,-0.203370167
2,3.5,24.9,2.1,0,-13.41751007,21.14820869,-0.193789488,-0.237334189
1,2.4,6.4,2.1,0,-2.206799457,6.413924036,0.075036292,0.179524002
0,0.3,25.6,5.2,0,-15.89246804,19.78099938,-0.043535923,-0.342142711
0,0.8,21.5,6.2,0,-12.7710671,17.00631709,0.02703588,-0.254338783
0,0.8,19.5,5.4,0,-11.54672777,15.46770002,0.031418582,-0.195226011
0,0.6,21.7,8.4,0,-12.85625816,17.07598538,0.08894535,-0.307251055
0,0.8,22.1,6.2,0,-13.15966701,17.46279393,0.020417366,-0.268433009
1,0.4,23.9,22.2,0,-13.26615108,18.86248454,0.466947276,-0.753493635
6,6.5,22.8,0.4,0,-10.18002548,21.24746886,0.249325695,-0.235939819
6,3.6,1.9,2,0,1.310280693,3.50582344,-0.027906789,0.347378784
0,1,27.3,13.5,0,-15.7288249,21.70362017,0.121503268,-0.571837088
0,1.4,30.3,3.8,0,-18.23084221,24.03817764,-0.142580888,-0.425434619
0,0.8,26.1,3,0,-16.03430788,20.43786232,-0.116079136,-0.326559918
0,0.6,23.1,3.6,0,-14.1889535,18.03893225,-0.053815492,-0.256707126
0,1.1,24.8,3.2,0,-14.94825732,19.64706102,-0.098166223,-0.28939269
3,2,8.6,2.1,0,-4.051001706,7.725720949,0.031537716,0.135227187
0,1,17.2,8.5,0,-9.631103752,13.91317082,0.137643005,-0.201677952
0,0.8,19.3,5.9,0,-11.37282341,15.32618334,0.043599309,-0.198632653
2,1.6,15.5,2.9,0,-8.691910313,12.78525804,-0.000220462,-0.04520672
2,3.7,13.7,3.3,0,-5.906264113,12.78216585,-0.037722326,0.01173541
0,0,3.3,2.2,0,-1.942066815,2.55744855,0.19471826,0.232516218
1,2.3,19,2.7,0,-10.38959748,15.94804995,-0.051698713,-0.121932218
0,0.1,3.8,1.6,0,-2.243700129,2.989733503,0.183255967,0.233652284
0,1.2,2.3,1.8,0,-0.42455451,2.564039725,0.161885433,0.271935859
0,2.3,16.8,4.3,0,-8.763966224,14.36001593,0.012174292,-0.100411743
4,6.6,12,2.9,0,-2.770371543,13.25207373,-0.163076402,0.103177798
0,1,4.1,0.9,0,-1.821112591,3.784997531,0.145924989,0.249622551
3,4.2,3.2,1.5,0,1.052947037,5.02714153,0.007077505,0.295044377
10,7.4,17.6,4.1,0,-6.039916819,17.74537736,-0.368970521,0.01240379
16,14.4,3.3,4.2,0,8.159088846,11.0842682,-0.604210745,0.480256972
2,3.2,19.5,4.3,0,-9.951213868,16.89276822,-0.073080348,-0.13727742
0,1.3,24.5,7.6,0,-14.21260156,19.64179115,0.023571158,-0.349482086
2,2.3,5.3,3.2,0,-1.530972688,5.484145394,0.076239138,0.192697502
0,1.2,24.7,4.8,0,-14.66605804,19.6696951,-0.052126863,-0.303643071
0,0.8,23.8,8.9,0,-14.02109634,18.81361319,0.07257786,-0.36704992
0,0.9,25.7,10.6,0,-15.02535587,20.35996517,0.08195529,-0.454548941
0,0.7,25.3,3.7,0,-15.52950039,19.77946741,-0.085626619,-0.312698289
0,3,4.9,1.6,0,-0.76822191,5.701698662,0.079092068,0.230007568
8,7.1,8.3,3.5,0,-0.178644137,10.56655904,0.273143352,0.066364945
